번호,시퀀스,모델명,지역,가격,시세안심지수,번호판,연식,주행거리,연료,변속기,색상,사진
25,26012781,BMW M시리즈 M3 세단 Competition G80,경기,"9,770만원",적정,210너4646,21년08월(21년형),"44,860km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2601/26012781_11970471400218258.jpeg?width=320
26,26719824,벤츠 CLE클래스 (C236) CLE 450 4MATIC 쿠페 기본형,경기,"7,500만원",적정,234더8950,24년04월(24년형),"14,000km",하이브리드(가솔린),오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2671/26719824_29769593762286855.jpg?width=320
27,26565513,재규어 F-TYPE 2.0 P300 컨버터블,경기,"6,250만원",적정,170누2688,21년10월(21년형),"34,298km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2656/26565513_25206825911528386.jpeg?width=320
28,26742795,포르쉐 카이맨 (718) 2.5 GTS,경기,"6,300만원",적정,179나8732,19년06월(19년형),"83,046km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2674/26742795_30380336436852696.jpg?width=320
29,26353112,포르쉐 911(992) Carrera 4 GTS,서울,"18,200만원",적정,337마1670,23년03월(23년형),"37,282km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2635/26353112_20182067777351712.jpg?width=320
30,26727094,BMW M시리즈 X4 M F98(19~),서울,"5,980만원",낮음,264오9419,19년11월(20년형),"38,917km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26727094_29888847680787234.jpg?width=320
31,26363686,BMW M시리즈 X6 M F16(2015~),경기,"5,490만원",적정,58루5859,18년06월(18년형),"63,737km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2636/26363686_20367259528527914.jpeg?width=320
32,26511852,재규어 F-TYPE 2.0 P300 컨버터블,경기,"4,300만원",적정,45루7757,18년08월(19년형),"75,026km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img01/img2651/26511852_23832822976422412.jpeg?width=320
33,26599011,아우디 R8 5.2 V10 쿠페,서울,"7,950만원",적정,62조1562,15년12월(15년형),"50,072km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2659/26599011_26152431929228257.jpeg?width=320
34,26647869,포르쉐 뉴 박스터 3.4 GTS,대구,"5,799만원",낮음,144머1786,15년07월(15년형),"89,696km",가솔린,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2664/26647869_27456411974667951.jpg?width=320
35,26667070,벤츠 CLE클래스 (C236) CLE 200 카브리올레 기본형,경기,"7,730만원",적정,189다9885,24년07월(24년형),"2,843km",하이브리드(가솔린),오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2666/26667070_27979693337510662.jpeg?width=320
36,26347152,BMW M시리즈 M4 쿠페 Competition M xDrive (G82),경기,"9,600만원",낮음,305수8067,23년08월(23년형),"20,309km",가솔린,오토,스카이스크래퍼그레이,https://img.kbchachacha.com/IMG/carimg/l/img04/img2634/26347152_20094591169380824.jpeg?width=320
37,26610289,BMW M시리즈 M2 쿠페 F87 (16~),경기,"3,540만원",적정,189노2771,18년04월(18년형),"67,975km",가솔린,오토,롱비치블루,https://img.kbchachacha.com/IMG/carimg/l/img01/img2661/26610289_26865794948087293.jpg?width=320
38,26575709,포드 올뉴머스탱 GT 컨버터블 프리미엄,경기,"7,490만원",낮음,291부4244,24년06월(24년형),714km,가솔린,오토,쉐도우블랙,https://img.kbchachacha.com/IMG/carimg/l/img07/img2657/26575709_25552387138425554.jpg?width=320
39,26434579,포드 올뉴머스탱 GT 컨버터블 프리미엄,경기,"4,450만원",적정,147두6346,21년03월(21년형),"45,514km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2643/26434579_22083513553364539.jpeg?width=320
40,26756274,BMW M시리즈 M3 컨버터블 E46M3,경기,"5,600만원",적정,56수8893,12년10월(13년형),"16,660km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2675/26756274_30642459663423158.jpeg?width=320
41,26700113,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,경기,"5,950만원",적정,254부2609,19년10월(19년형),"115,917km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2670/26700113_28756805392491341.jpeg?width=320
42,26753993,벤츠 AMG GT GT 4door 63 S 4MATIC+ 기본형,경기,"10,750만원",적정,376더1563,21년03월(21년형),"45,155km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2675/26753993_30584554887173805.jpeg?width=320
43,26756241,BMW M시리즈 M6 쿠페 F13(12년~),경기,"4,590만원",낮음,242서8243,16년05월(16년형),"93,683km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2675/26756241_30641816255494280.jpeg?width=320
44,26651706,포르쉐 718 박스터 2.5 GTS,경기,"8,220만원",적정,342거3161,19년12월(20년형),"19,237km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2665/26651706_27538620218387374.jpeg?width=320
45,26725302,BMW M시리즈 M4 쿠페 Competition M xDrive (G82),경기,"8,700만원",적정,340어5584,23년02월(23년형),"54,000km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2672/26725302_29869560944420322.jpg?width=320
46,26558889,도요타 86 2.0,경기,"2,610만원",낮음,15모0505,16년04월(16년형),"83,839km",가솔린,수동,흰색,https://img.kbchachacha.com/IMG/carimg/l/img05/img2655/26558889_25302833282235105.jpg?width=320
